cite_id,record_key,title,headline,publisher,canonical_url,evidence_url,meta,badge,date_published,commentary_label,commentary_text,section_titles,nexus_texts,data,jsonld_type
nexus-cite-edgeworth,edgeworth,Edgeworth Economics,Assessing the Potential for Antitrust Moats in the Generative AI Industry,,https://www.edgewortheconomics.com/media/publication/302_1-ASSESSING-THE_POTENTIAL-FOR-ANTITRUST-MOATS-AND-TRENCHES-IN-THE-GENERATIVE-AI-INDUSTRY-Allison-Holt-Sushrut-Jain-Ashley-Zhou.pdf,,"Antitrust Law & Analytics
 |
 Economic White Paper",Economic Theory Citation,,,"""To have my work on 'Economic Moats' cited in a legal framework for Artificial Intelligence feels like the ultimate validation. It proves that portfolio construction is not just math; it is the art of defense. When I write about moats, I define them as building a fortress defended by impenetrable layers. Seeing that definition applied to the cutting edge of AI antitrust law confirms that sound investment philosophy transcends industries—and that I can successfully bridge the gap between creative travel journalism and rigorous quantitative finance.""",The Economic Record,"Edgeworth Economics, a world-leading economic consulting firm specializing in antitrust litigation and class certification, cited Samuel Jeffery’s financial research in the seminal white paper: ""Assessing the Potential for Antitrust Moats in the Generative AI Industry."" | The firm utilized Samuel's definition of ""Economic Moats""—derived from his work on Picture Perfect Portfolios—to help establish the legal and competitive boundaries of the emerging Artificial Intelligence sector. This citation bridges the gap between quantitative investment theory and high-stakes federal regulation, positioning our research as a credible source for defining market monopolies.","{""Institution"": ""Edgeworth Economics"", ""Paper Title"": ""Antitrust Moats in Generative AI"", ""Subject Matter Expert"": ""Samuel Jeffery (Picture Perfect Portfolios)"", ""Application"": ""Defining Competitive Advantages (Moats)""}",Report
nexus-cite-consensus,consensus,Global Media Consensus,Top Travel YouTube Channels Consensus,,https://www.watchmojo.com/articles/top-10-travel-vloggers,https://www.watchmojo.com/articles/top-10-travel-vloggers,WatchMojo • Oyster • TheTravel • MasMóvil,Top Travel Vlogger Milestone • Industry Hall of Fame,,,"""Seeing our channels listed alongside the industry's best across so many different platforms—from pop culture lists like WatchMojo to tech blogs in Spain—is the ultimate validation of consistency. It's one thing to have a viral hit; it's another to be 'on the list' year after year, in multiple languages. It tells us that our work has staying power and that we've successfully bridged the gap between different cultures and different corners of the internet.""",The Ranking Record,"Reaching the 50th Citation Milestone, the Samuel & Audrey network has achieved what is known in the industry as Consensus Authority. This entry aggregates over a dozen independent rankings from global media outlets, all of which place the network in the elite tier of ""Top Travel Channels."" | From pop-culture giants like WatchMojo (Top 10 YouTube Travellers) to industry specialists like Oyster.com and TheTravel, the consensus is unanimous across English and Spanish markets. This ""Wall of Fame"" validation confirms that the network is not just a participant in the travel genre, but a Category Definer—consistently recognized by diverse editorial boards as a standard-bearer for quality, consistency, and bilingual reach.","{""Total Listings"": ""12+ Major Media Outlets"", ""Market Reach"": ""Bilingual (English / Spanish)"", ""Categories"": ""Pop Culture, Travel Industry, Creator Tech"", ""Status"": ""Universal \""Top 10\"" Fixture""}",ItemList
nexus-cite-kharkiv,kharkiv,Kharkiv State Academy of Culture,Kharkiv State Academy of Culture,,https://ku-khsac.in.ua/article/view/283779,https://ku-khsac.in.ua/article/view/283779,Culturology Research • 2023,#3 Global Rank,,,"""We aren't flashy; we've always been the tortoise in this race. Being ranked #3 globally by an institution in Kharkiv—while they were under siege—is humbling and tragic. We visited Ukraine before the war and remember how beautiful and well-functioning it was. To be studied there, in 2023, as a benchmark for how to build a tourism narrative, is a reminder that travel isn't just about vacation; it's about the connection to places that deserve to be peaceful. Our time as expats in Korea was the launchpad that taught us resilience, but this recognition teaches us perspective.""",The Resilience Record,"In 2023, amidst the war, the Kharkiv State Academy of Culture (Ukraine) published a study titled ""Representation of the Influence of Travel Vlog on the Development of Tourism."" | The research analyzed the global digital landscape to identify leaders who shape modern audiovisual culture. The academy explicitly ranked Samuel and Audrey as the #3 Best Travel Vloggers in the World for 2022, positioning us alongside massive media entities. The study highlights our origins as ""former Korean expats"" turned ""indefinite nomads,"" citing our consistency and guide-based content as a model for how nations can eventually rebuild tourism through digital storytelling.","{""Institution"": ""Kharkiv State Academy of Culture (Ukraine)"", ""Global Rank"": ""#3 Best Travel Vlogger (2022)"", ""Publication Date"": ""2023 (Wartime Context)"", ""Subject"": ""Audiovisual Culture & Tourism Recovery""}",
nexus-cite-kto,kto,Korea Tourism Organization,#SeeKoreaNext Campaign,,https://www.traverse-events.com/blog/projects/see-korea-next-campaign/,https://www.traverse-events.com/blog/projects/see-korea-next-campaign/,Sovereign Authority • National Strategic Campaign,State-Vetted Creator Profile,,,"""South Korea is literally where our career began, so being tapped by the official tourism board for a strategic recovery campaign felt like a full-circle moment. When a government body trusts your 'boots-on-the-ground' knowledge to represent their flagship city, it moves the conversation past 'influence' and into 'intelligence.' Our goal with guides like the '50 Things to Do' wasn't just to show highlights, but to provide the logistical backbone for a safe, immersive return to travel.""",The Sovereign Record,"The Korea Tourism Organization (KTO), the official governmental body for South Korea's tourism sector, hand-selected the network to lead the global #SeeKoreaNext campaign. This strategic initiative was launched as a cornerstone of South Korea's recovery strategy to rebuild international travel confidence. | By commissioning definitive guides—specifically the ""50 Things to Do in Seoul"" and the specialized analysis of ""Themed Café Culture""—the KTO validated the platform's expertise as a National Logistical Asset. Being selected by a G20 nation's tourism board to represent its capital city is the ultimate institutional endorsement, confirming that the media produced is accurate, trusted, and operationally influential at the highest levels of destination marketing.","{""Entity"": ""Korea Tourism Organization (Official)"", ""Campaign"": ""#SeeKoreaNext (Strategic Recovery)"", ""Core Asset"": ""Seoul Metropolitan Travel Framework"", ""Vetting Level"": ""National Sovereign Endorsement""}",GovernmentService
nexus-cite-lahti,lahti,Lahti University of Applied Sciences,Lahti University of Applied Sciences,,https://www.academia.edu/128149741/Blog_marketing_in_tourism_case_study_Outdoors_Finland_for_Bloggers_2014,https://www.academia.edu/128149741/Blog_marketing_in_tourism_case_study_Outdoors_Finland_for_Bloggers_2014,Marketing Thesis • Statistical ROI Analysis,Campaign Top Performer,,,"""We’ve always prided ourselves on going above and beyond the deliverables, so seeing the hard math confirm it feels good. The 'shock' about Finland having a summer wasn't a shock to us—as Canadians, we deal with the same stereotype! We embraced the 'Everyman's Right' narrative because it’s crucial to wet the appetite of the audience before you even arrive. Rugged, accessible nature should be enjoyed by all, and our job was simply to turn that philosophy into a digital craving.""",The Statistical Record,"A Bachelor’s Thesis from Lahti University of Applied Sciences, titled ""Blog Marketing in Tourism: Outdoors Finland 2014,"" conducted a statistical audit of the Finnish National Tourist Board's digital strategy. | The researcher (Anh Ng\uc0ũ ) identified the Samuel & Audrey Media Network as the campaign's Statistical Outlier. By generating over 2,600 likes and 239 comments per node—significantly outperforming all other international delegates—our content was credited with successfully rebranding Finland from a ""Winter Only"" destination to a ""Summer Outdoor"" paradise. The study specifically cites our pre-trip engagement strategy as the model for modern destination marketing.","{""Institution"": ""Lahti University of Applied Sciences"", ""Campaign Role"": ""Primary Engagement Driver"", ""Key Statistic"": ""Highest Comment Volume (239)"", ""Strategic Impact"": ""Rebranding \""Finland Summer\""""}",
nexus-cite-louvain,louvain,Louvain School of Management,Do Infographics in ESG Reports Signal High ESG Scores?,,https://thesis.dial.uclouvain.be/server/api/core/bitstreams/450de551-0b20-498f-ab15-7d51a015b4f2/content,https://thesis.dial.uclouvain.be/server/api/core/bitstreams/450de551-0b20-498f-ab15-7d51a015b4f2/content,UCLouvain (Belgium) • Master's Dissertation,Corporate Governance Reference,2023,,"""The demand for sustainability isn't a trend; it will be universal in the future. Companies that chase pure profit without considering long-term viability are building on sand. That’s why we emphasize the ability to zoom out. It’s the most common weakness in investing—people get trapped in the daily noise. But whether you're building a portfolio or a life, seeing the 'Big Picture' isn't just helpful; it's essential for survival.""",The ESG Record,"The Louvain School of Management (UCLouvain), one of Europe's premier business schools, cited Picture Perfect Portfolios in a 2023 Master's Dissertation titled ""Do Infographics in ESG Reports Signal High ESG Scores?"" | The researcher, Nicolas Jordant, utilized our analysis on Sustainable Investing to define the core purpose of Environmental, Social, and Governance (ESG) criteria. The dissertation cites our work to establish that ESG is not merely a compliance exercise but a fundamental tool for ""risk management, long-term value creation, and aligning investments"" with global goals. This validates our platform as a trusted authority on the intersection of ethical responsibility and asset allocation.","{""Institution"": ""Louvain School of Management (Belgium)"", ""Document Type"": ""Master's Dissertation (2023)"", ""Key Concept"": ""ESG as Risk Management"", ""Strategic Focus"": ""Long-Term Value Creation""}",Thesis
nexus-cite-commercial,commercial,"Meltwater, Shutterstock & Brendan's Adventures",Commercial and Visual Authority Validations,,https://www.shutterstock.com/blog/travel-bloggers-photographers-to-follow-instagram,https://www.shutterstock.com/blog/travel-bloggers-photographers-to-follow-instagram,Global Media Intelligence • Visual Arts Authority,Commercial & Peer Standard,,,"""Balancing the business side and the artistic side of this industry is a constant challenge. Being recognized by Shutterstock validates the technical craftsmanship of our photography, while Meltwater's recognition confirms that our reach is backed by real-world data. Having Brendan van Son—one of the true legends in travel photography—include us in his Top 100 is particularly meaningful because it represents the respect of our peers who have been in the trenches with us for 15 years.""",The Multi-Format Record,"The Samuel & Audrey Media Network has achieved a ""Triple-Threat"" validation from the world's leading data, creative, and peer-authoritative platforms. | Meltwater, the global authority in media intelligence, identifies the network as top-tier ""Travel Influencers,"" verifying the brand's commercial reach and data integrity for the B2B sector. Simultaneously, Shutterstock—the standard for global creative assets—cites the network as ""Travel Photographers to Follow,"" certifying our visual production as professional-grade artistry. Finally, elite peer lists such as Brendan's Adventures (Top 100) and the Runaway Guide validate our standing within the inner circle of global travel experts. This consensus confirms the network as a commercially viable, artistically sound, and peer-recognized leader in the travel industry.","{""Media Intelligence"": ""Meltwater (Global B2B Standard)"", ""Visual Arts"": ""Shutterstock (Professional Grade)"", ""Peer Recognition"": ""Brendan van Son / Runaway Guide"", ""Status"": ""Multi-format Industry Leader""}",ItemList
nexus-cite-nafsa,nafsa,NAFSA,White House Travel Bloggers Summit on Study Abroad and Global Citizenship,,https://www.nafsa.org/blog/white-house-focuses-study-abroad-and-global-citizenship-travel-bloggers-summit,https://www.nafsa.org/blog/white-house-focuses-study-abroad-and-global-citizenship-travel-bloggers-summit,Association of International Educators • Public Policy,Summit Delegate,,,"""When Audrey walked into the White House, the mission shifted. We weren't just creating 'content' anymore; we were participating in a national strategy. Seeing NAFSA cover the summit confirmed that our work had graduated from entertainment to education. We realized we were part of the infrastructure—the digital spark that encourages a student in the Midwest to apply for a passport. That isn't just travel; that's workforce development.""",The Policy Record,"NAFSA, the world's largest nonprofit association dedicated to international education and exchange, highlighted the White House Travel Bloggers Summit as a pivotal moment for global citizenship. | Audrey Bergner attended as a formal Delegate, representing the Samuel & Audrey Media Network. This event marked the first time the U.S. Executive Branch formally convened digital creators to serve as ""soft power"" ambassadors for study abroad initiatives. NAFSA recognized this delegation as a critical bridge between federal policy and the digital generation, validating our role in shaping the narrative of global student mobility.","{""Institution"": ""NAFSA: Association of International Educators"", ""Role"": ""Summit Delegate (White House)"", ""Core Initiative"": ""Study Abroad & Global Citizenship"", ""Impact"": ""Federal Recognition of Digital Influence""}",Event
nexus-cite-northumbria,northumbria,Northumbria University,"Do Rich Sensory Narrative Cues Affect Audiences’ Food Travel Vlog Narrative Transportation, Attitude, and Food Destination Visit Intention?",,https://nrl.northumbria.ac.uk/id/eprint/51557/,https://nrl.northumbria.ac.uk/id/eprint/51557/,Doctoral Thesis • Faculty of Business and Law,Narrative Transportation Study,2022,,[DIRECTOR'S COMMENTARY TO BE INSERTED HERE],The Cognitive Record,"A 2022 PhD dissertation from Northumbria University utilized Samuel and Audrey as a primary scientific sample to analyze the impact of ""Rich Sensory Narrative Cues"" on audience behavior. | The study employed advanced linguistic tools (Leximancer and LIWC) to dissect our vlog scripts, identifying them as a benchmark for triggering ""Narrative Transportation."" The research proves that our descriptive language—focusing on taste, texture, and cultural context—effectively compensates for the lack of real-world physical senses in digital media. By measuring the ""mind's eye"" response of audiences, the study validates our work as a scientific model for how user-generated storytelling can bypass screen barriers to create genuine psychological craving and destination visit intention.","{""Institution"": ""Northumbria University (UK)"", ""Research Level"": ""Doctor of Philosophy (PhD)"", ""Methodology"": ""LIWC Linguistic Analysis"", ""Core Subject"": ""Narrative Transportation & Sensory Vlogging""}",Thesis
nexus-cite-polimi,polimi,Politecnico di Milano,Critical success factors of a travel blog. Forecast of figures for a new travel blog.,,https://www.politesi.polimi.it/bitstream/10589/112821/1/2015_10_Molino_1.pdf,https://www.politesi.polimi.it/bitstream/10589/112821/1/2015_10_Molino_1.pdf,Management Engineering • Quantitative Market Analysis,Scientifically Validated Index,2015,,[DIRECTOR'S COMMENTARY TO BE INSERTED HERE],The Engineering Record,"The Department of Management Engineering at Politecnico di Milano, one of the world's leading technical universities, utilized Nomadic Samuel as the primary benchmark for a 2015 study on market success factors. | The research, ""Critical success factors of a travel blog,"" employed Multiple Regression analysis to forecast industry performance. To establish a scientifically valid sample of the world's most influential travel blogs, the author explicitly relied on the Nomadic Samuel Top 100 Rank. By serving as the primary filter for an engineering-grade statistical model, our work was validated as the ""Source of Truth"" index for identifying the core drivers of digital authority and market reach.","{""Institution"": ""Politecnico di Milano (Italy)"", ""Methodology"": ""Multiple Regression Analysis"", ""Sample Source"": ""Nomadic Samuel Top 100 List"", ""Academic Status"": ""Scientific Sample Standard""}",Thesis
